player_name,team_name,position,accurateChippedPasses,accurateCrosses,accurateCrossesPercentage,accurateFinalThirdPasses,accurateLongBalls,accurateLongBallsPercentage,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePasses,accuratePassesPercentage,aerialDuelsWon,aerialDuelsWonPercentage,aerialLost,appearances,assists,attemptPenaltyMiss,attemptPenaltyTarget,ballRecovery,bigChancesCreated,bigChancesMissed,blockedShots,cleanSheet,clearances,crossesNotClaimed,directRedCards,dispossessed,dribbledPast,duelLost,errorLeadToGoal,errorLeadToShot,expectedAssists,expectedGoals,fouls,freeKickGoal,goalConversionPercentage,goalKicks,goals,goalsAssistsSum,goalsPrevented,groundDuelsWon,groundDuelsWonPercentage,headedGoals,highClaims,hitWoodwork,id,inaccuratePasses,interceptions,keyPasses,leftFootGoals,matchesStarted,minutesPlayed,offsides,outfielderBlocks,ownGoals,passToAssist,penaltiesTaken,penaltyConceded,penaltyConversion,penaltyFaced,penaltyGoals,penaltySave,penaltyWon,possessionLost,possessionWonAttThird,punches,rating,redCards,rightFootGoals,runsOut,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,saves,savesCaught,savesParried,scoringFrequency,setPieceConversion,shotFromSetPiece,shotsFromInsideTheBox,shotsFromOutsideTheBox,shotsOffTarget,shotsOnTarget,successfulDribbles,successfulDribblesPercentage,successfulRunsOut,tackles,tacklesWon,tacklesWonPercentage,totalAttemptAssist,totalChippedPasses,totalContest,totalCross,totalDuelsWon,totalDuelsWonPercentage,totalLongBalls,totalOppositionHalfPasses,totalOwnHalfPasses,totalPasses,totalShots,totwAppearances,touches,wasFouled,yellowCards,yellowRedCards,player_name_lower,Player Name,Age,Market Value,Club,Nationality,Market Value Num,log_Market_Value,Age_sq,per90,goals_per90,assists_per90,xG_per90,xA_per90,Club_Avg_Value,Position_Central Midfield,Position_Centre-Back,Position_Centre-Forward,Position_Defensive Midfield,Position_Left Midfield,Position_Left Winger,Position_Left-Back,Position_Right Midfield,Position_Right Winger,Position_Right-Back,Position_Second Striker,Predicted_Market_Value,Value_Difference
Tijjani Reijnders,Manchester City,M,13,10,27.02702703,251,11,52.38095238,446,214,660,88.82907133,3,37.5,5,26,2,0,0,54,4,4,10,2,19,0,0,16,6,68,0,1,2.25920791,3.7959,18,0,12.19512195,0,5,7,0.0,44,41.12149533,0,0,1,2139157,83,10,18.0,3,17,1503.0,4,1,0,1,0,0,0.0,0,0,0,0,184,13,0,6.85,0,2,0,0,0,0,0,0,300.6,0.0,2,27,14,16,15,19.0,44.18604651,0,10,4,40.0,17,29,43,37,47,40.86956522,21,514,229,743,41,1,1018,15,2,0,tijjani reijnders,Tijjani Reijnders,26.0,€55.00m,Manchester City,Netherlands,55000000.0,17.822843761378564,676.0,16.7,0.2994010183227435,0.11976040732909742,0.22729926509026044,0.13528182977135944,48300000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49814080.0,-5185920.0
Bernardo Silva,Manchester City,M,73,17,26.15384615,551,59,58.41584158,990,776,1766,90.10204082,4,16.66666667,20,34,4,0,0,128,7,1,11,5,32,0,0,29,25,136,0,2,3.84503713,2.1143,36,0,8.333333333,4,2,6,0.0,84,42.0,0,0,1,2139129,194,18,45.0,2,30,2606.0,5,6,0,0,0,0,0.0,0,0,0,0,335,17,0,6.844117647,0,0,0,0,0,0,0,0,1303.0,0.0,0,20,4,7,6,20.0,41.66666667,0,43,21,48.8372093,45,112,48,65,88,39.28571429,101,1133,827,1960,24,1,2363,21,9,0,bernardo silva,Bernardo Silva,30.0,€32.00m,Manchester City,Portugal,32000000.0,17.281246492014,900.0,28.955555555555556,0.06907134989861285,0.1381426997972257,0.07301877754531858,0.13279095248969408,48300000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25786630.0,-6213370.0
Nathan Aké,Manchester City,D,11,3,75.0,80,5,26.31578947,165,169,334,89.30481283,13,68.42105263,6,15,0,0,0,12,2,1,1,2,26,0,0,0,2,11,0,1,0.44223924,0.2759,2,0,0.0,11,0,0,0.0,14,73.68421053,0,0,0,2162739,40,4,6.0,0,4,504.0,1,0,0,0,0,0,0.0,0,0,0,0,51,1,0,6.809090909,0,0,0,0,0,0,0,0,0.0,0.0,0,3,0,2,0,0.0,0.0,0,8,5,62.5,6,17,1,4,27,71.05263158,19,191,183,374,3,1,462,6,1,0,nathan aké,Nathan Aké,30.0,€22.00m,Manchester City,Netherlands,22000000.0,16.906553056777135,900.0,5.6,0.0,0.0,0.049267769164697925,0.07897115183722887,48300000.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22748028.0,748028.0
Rico Lewis,Manchester City,D,8,0,0.0,62,8,61.53846154,114,89,203,86.75213675,1,50.0,1,10,1,0,0,10,2,0,0,0,6,0,0,5,3,15,0,0,1.31145706,0.1119,4,0,0.0,0,0,1,0.0,14,50.0,0,0,0,2139125,31,7,6.0,0,3,333.0,0,1,0,0,0,0,0.0,0,0,0,0,46,3,0,6.733333333,0,0,0,0,0,0,0,0,0.0,0.0,0,1,1,2,0,2.0,50.0,0,5,3,60.0,6,13,4,2,15,50.0,13,142,92,234,2,0,319,7,1,0,rico lewis,Rico Lewis,20.0,€35.00m,Manchester City,England,35000000.0,17.370858648025116,400.0,3.7,0.0,0.27026953981205454,0.030243161504968905,0.35444689608947,48300000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,27908972.0,-7091028.0
Savinho,Manchester City,M,3,7,21.875,117,5,41.66666667,187,48,235,83.62989324,0,0.0,4,20,1,0,0,33,0,6,2,1,6,0,0,6,2,44,0,0,1.30132452,1.6364,8,0,0.0,0,0,1,0.0,26,39.39393939,0,0,0,2266836,46,5,6.0,0,5,631.0,4,0,0,0,0,0,0.0,0,0,0,1,124,3,0,6.68,0,0,0,0,0,0,0,0,0.0,0.0,0,15,0,3,10,9.0,27.27272727,0,7,4,57.14285714,6,9,33,32,26,37.14285714,12,227,54,281,15,0,450,10,2,0,savinho,Savinho,21.0,€45.00m,Manchester City,Brazil,45000000.0,17.622173069956816,441.0,7.011111111111111,0.0,0.14263054141444173,0.23340061797059247,0.18560862084348853,48300000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,42251430.0,-2748568.0
Omar Marmoush,Manchester City,F,1,0,0.0,58,1,100.0,95,33,128,87.07482993,2,25.0,6,18,3,0,0,15,2,2,7,0,2,0,0,12,3,40,0,0,0.70675318,2.2248,10,0,4.0,0,1,4,0.0,36,51.42857143,0,0,1,2139137,19,2,11.0,0,7,611.0,6,2,0,0,0,0,0.0,0,0,0,0,68,3,0,6.64375,0,1,0,0,0,0,0,0,611.0,0.0,2,18,7,11,7,7.0,41.17647059,0,12,6,50.0,11,2,17,11,38,48.71794872,1,112,35,147,25,1,285,18,2,0,omar marmoush,Omar Marmoush,26.0,€70.00m,Manchester City,Egypt,70000000.0,18.064005814299346,676.0,6.788888888888889,0.14729929203050274,0.44189787609150827,0.3277114649094625,0.10410424305430648,48300000.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59412708.0,-10587292.0
John Stones,Manchester City,D,4,0,0.0,22,5,50.0,91,149,240,92.66409266,9,90.0,1,7,0,0,0,17,0,0,0,0,14,0,0,1,2,4,0,0,0.06005487,0.0,0,0,0.0,1,0,0,0.0,2,40.0,0,0,0,2139141,19,2,1.0,0,4,363.0,0,4,0,0,0,0,0.0,0,0,0,0,27,1,0,6.566666667,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,2.0,100.0,0,0,0,0.0,1,6,2,4,11,73.33333333,10,103,156,259,0,0,296,0,0,0,john stones,John Stones,31.0,€22.00m,Manchester City,England,22000000.0,16.906553056777135,961.0,4.033333333333333,0.0,0.0,0.0,0.014889600273718332,48300000.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16279748.0,-5720252.0
Bruno Fernandes,Manchester United,M,142,50,30.3030303,598,127,59.34579439,997,505,1502,82.30136986,20,39.21568627,31,32,19,1,1,155,30,8,27,5,42,0,0,28,36,135,0,2,11.1629895,10.5287,23,1,10.38961039,0,8,27,0.0,99,48.76847291,0,0,5,2145655,323,17,121.0,0,32,2796.0,4,5,0,1,6,1,66.66666667,0,4,0,0,539,14,0,7.571875,0,8,0,0,0,0,0,0,349.5,20.0,5,37,40,28,22,15.0,46.875,0,50,29,58.0,120,233,32,165,119,46.8503937,214,1252,573,1825,77,5,2428,35,5,0,bruno fernandes,Bruno Fernandes,30.0,€50.00m,Manchester United,Portugal,50000000.0,17.72753358339242,900.0,31.066666666666666,0.2575106467240408,0.6115877859695968,0.338906543270426,0.35932358068983455,31656250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31408120.0,-18591880.0
Casemiro,Manchester United,M,100,4,23.52941176,292,80,52.2875817,669,584,1253,81.04786546,56,50.90909091,54,33,2,0,0,137,4,6,14,2,73,0,0,12,47,164,0,4,3.04121024,5.3391,45,0,18.36734694,0,9,11,0.0,128,53.78151261,8,0,1,2145625,293,30,34.0,0,32,2512.0,5,27,0,0,0,0,0.0,0,0,0,0,362,9,0,7.224242424,1,1,0,0,0,0,0,0,279.1111111,0.0,0,29,20,17,18,6.0,37.5,0,88,45,51.13636364,34,160,16,17,184,52.87356322,153,868,678,1546,49,3,2061,35,8,1,casemiro,Casemiro,33.0,€6.00m,Manchester United,Brazil,6000000.0,15.607270193858982,1089.0,27.91111111111111,0.3224521137711376,0.07165602528247501,0.1912893422928312,0.10896051892338095,31656250.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5920949.0,-79051.0
Lisandro Martínez,Manchester United,D,30,1,50.0,101,32,43.24324324,318,369,687,90.27595269,11,68.75,5,15,0,0,0,56,1,0,2,2,47,0,1,2,2,20,0,1,0.56539324,0.065,9,0,0.0,19,0,0,0.0,26,63.41463415,0,0,0,2480957,74,11,4.0,0,10,967.0,0,9,1,0,0,0,0.0,0,0,0,0,86,1,0,7.066666667,1,0,0,0,0,0,0,0,0.0,0.0,0,0,4,2,0,11.0,84.61538462,0,13,8,61.53846154,4,57,13,2,37,64.9122807,74,378,383,761,4,1,893,2,0,0,lisandro martínez,Lisandro Martínez,27.0,€35.00m,Manchester United,Argentina,35000000.0,17.370858648025116,729.0,10.744444444444444,0.0,0.0,0.006049632425367961,0.05262186581212076,31656250.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36229770.0,1229768.0
